Algorithm;Sample Size;Execution Time (s)
BubbleSort;10000;5,87
BubbleSort;20000;23,40
BubbleSort;30000;52,94
BubbleSort;40000;95,02
BubbleSort;50000;150.74
BubbleSort;60000;216.10
BubbleSort;70000;298.46
BubbleSort;80000;383.38
BubbleSort;90000;488.90
BubbleSort;100000;600.65
QuickSort;10000;0.0115
QuickSort;20000;0.0276
QuickSort;30000;0.0372
QuickSort;40000;0.0474
QuickSort;50000;0.0625
QuickSort;60000;0.0685
QuickSort;70000;0.0850
QuickSort;80000;0.0923
QuickSort;90000;0.1091
QuickSort;100000;0.1133
MergeSort;10000;0.0118
MergeSort;20000;0.0242
MergeSort;30000;0.0373
MergeSort;40000;0.0506
MergeSort;50000;0.0651
MergeSort;60000;0.0781
MergeSort;70000;0.0941
MergeSort;80000;0.1058
MergeSort;90000;0.1201
MergeSort;100000;0.1348
